,Country/Region,Province/State,Admin2,Combined_Key,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active
211,France,,,,1/26/2020 16:00,,,3,,,
212,Australia,,,,1/26/2020 16:00,,,4,,,
213,Nepal,,,,1/26/2020 16:00,,,1,,,
214,Malaysia,,,,1/26/2020 16:00,,,4,,,
215,Canada,Ontario,,,1/26/2020 16:00,,,1,,,
216,Mainland China,Hubei,,,1/27/2020 23:59,,,1423,76,45,
217,Mainland China,Guangdong,,,1/27/2020 23:59,,,151,,4,
218,Mainland China,Zhejiang,,,1/27/2020 23:59,,,128,,1,
219,Mainland China,Henan,,,1/27/2020 23:59,,,128,1,,
220,Mainland China,Chongqing,,,1/27/2020 23:59,,,110,,,
221,Mainland China,Hunan,,,1/27/2020 23:59,,,100,,,
222,Mainland China,Beijing,,,1/27/2020 23:59,,,80,1,2,
223,Mainland China,Shandong,,,1/27/2020 23:59,,,75,,,
224,Mainland China,Jiangxi,,,1/27/2020 23:59,,,72,,2,
225,Mainland China,Anhui,,,1/27/2020 23:59,,,70,,,
226,Mainland China,Sichuan,,,1/27/2020 23:59,,,69,,,
227,Mainland China,Fujian,,,1/27/2020 23:59,,,59,,,
228,Mainland China,Shanghai,,,1/27/2020 23:59,,,53,1,3,
229,Mainland China,Jiangsu,,,1/27/2020 23:59,,,47,,1,
230,Mainland China,Guangxi,,,1/27/2020 23:59,,,46,,,
231,Mainland China,Shaanxi,,,1/27/2020 23:59,,,35,,,
232,Mainland China,Hainan,,,1/27/2020 23:59,,,33,1,,
233,Mainland China,Liaoning,,,1/27/2020 23:59,,,27,,,
234,Mainland China,Yunnan,,,1/27/2020 23:59,,,26,,,
235,Mainland China,Tianjin,,,1/27/2020 23:59,,,23,,,
236,Mainland China,Heilongjiang,,,1/27/2020 23:59,,,21,1,,
237,Mainland China,Hebei,,,1/27/2020 23:59,,,18,1,,
238,Mainland China,Gansu,,,1/27/2020 23:59,,,14,,,
239,Mainland China,Shanxi,,,1/27/2020 23:59,,,13,,,
240,Mainland China,Inner Mongolia,,,1/27/2020 23:59,,,11,,,
241,Hong Kong,Hong Kong,,,1/27/2020 23:59,,,8,,,
242,Mainland China,Guizhou,,,1/27/2020 23:59,,,7,,,
243,Mainland China,Ningxia,,,1/27/2020 23:59,,,7,,,
244,Mainland China,Jilin,,,1/27/2020 23:59,,,6,,,
245,Macau,Macau,,,1/27/2020 23:59,,,6,,,
246,Mainland China,Qinghai,,,1/27/2020 23:59,,,6,,,
247,Taiwan,Taiwan,,,1/27/2020 23:59,,,5,,,
248,Mainland China,Xinjiang,,,1/27/2020 23:59,,,5,,,
249,US,Washington,,,1/27/2020 23:59,,,1,,,
250,US,Illinois,,,1/27/2020 23:59,,,1,,,
251,US,California,,,1/27/2020 23:59,,,2,,,
252,US,Arizona,,,1/27/2020 23:59,,,1,,,
253,Japan,,,,1/27/2020 23:59,,,4,,1,
254,Thailand,,,,1/27/2020 23:59,,,8,,2,
255,South Korea,,,,1/27/2020 23:59,,,4,,,
256,Singapore,,,,1/27/2020 23:59,,,5,,,
257,Vietnam,,,,1/27/2020 23:59,,,2,,,
258,France,,,,1/27/2020 23:59,,,3,,,
259,Nepal,,,,1/27/2020 23:59,,,1,,,
260,Malaysia,,,,1/27/2020 23:59,,,4,,,
261,Canada,Ontario,,,1/27/2020 23:59,,,1,,,
262,Cambodia,,,,1/27/2020 23:59,,,1,,,
263,Sri Lanka,,,,1/27/2020 23:59,,,1,,,
264,Ivory Coast,,,,1/27/2020 23:59,,,1,,,
265,Australia,New South Wales,,,1/27/2020 23:59,,,4,,,
266,Australia,Victoria,,,1/27/2020 23:59,,,1,,,
267,Mainland China,Hubei,,,1/28/2020 23:00,,,3554,125,80,
268,Mainland China,Guangdong,,,1/28/2020 23:00,,,207,,4,
269,Mainland China,Zhejiang,,,1/28/2020 23:00,,,173,,3,
270,Mainland China,Henan,,,1/28/2020 23:00,,,168,1,,
271,Mainland China,Hunan,,,1/28/2020 23:00,,,143,,,
272,Mainland China,Chongqing,,,1/28/2020 23:00,,,132,,,
273,Mainland China,Jiangxi,,,1/28/2020 23:00,,,109,,3,
274,Mainland China,Anhui,,,1/28/2020 23:00,,,106,,,
275,Mainland China,Shandong,,,1/28/2020 23:00,,,95,,,
276,Mainland China,Beijing,,,1/28/2020 23:00,,,91,1,4,
277,Mainland China,Sichuan,,,1/28/2020 23:00,,,90,,,
278,Mainland China,Fujian,,,1/28/2020 23:00,,,80,,,
279,Mainland China,Jiangsu,,,1/28/2020 23:00,,,70,,1,
280,Mainland China,Shanghai,,,1/28/2020 23:00,,,66,1,4,
281,Mainland China,Guangxi,,,1/28/2020 23:00,,,51,,2,
282,Mainland China,Shaanxi,,,1/28/2020 23:00,,,46,,,
283,Mainland China,Yunnan,,,1/28/2020 23:00,,,44,,,
284,Mainland China,Hainan,,,1/28/2020 23:00,,,40,1,,
285,Mainland China,Liaoning,,,1/28/2020 23:00,,,34,,,
286,Mainland China,Hebei,,,1/28/2020 23:00,,,33,1,,
287,Mainland China,Heilongjiang,,,1/28/2020 23:00,,,33,1,,
288,Mainland China,Shanxi,,,1/28/2020 23:00,,,27,,,
289,Mainland China,Tianjin,,,1/28/2020 23:00,,,24,,,
290,Mainland China,Gansu,,,1/28/2020 23:00,,,19,,,
291,Mainland China,Inner Mongolia,,,1/28/2020 23:00,,,15,,,
292,Mainland China,Ningxia,,,1/28/2020 23:00,,,11,,,
293,Mainland China,Xinjiang,,,1/28/2020 23:00,,,10,,,
294,Mainland China,Guizhou,,,1/28/2020 23:00,,,9,,,
295,Mainland China,Jilin,,,1/28/2020 23:00,,,8,,,
296,Taiwan,Taiwan,,,1/28/2020 23:00,,,8,,,
297,Hong Kong,Hong Kong,,,1/28/2020 23:00,,,8,,,
298,Macau,Macau,,,1/28/2020 23:00,,,7,,,
299,Mainland China,Qinghai,,,1/28/2020 23:00,,,6,,,
300,US,Washington,,,1/28/2020 23:00,,,1,,,
301,US,Illinois,,,1/28/2020 23:00,,,1,,,
302,US,California,,,1/28/2020 23:00,,,2,,,
303,US,Arizona,,,1/28/2020 23:00,,,1,,,
304,Japan,,,,1/28/2020 23:00,,,7,,1,
305,Thailand,,,,1/28/2020 23:00,,,14,,5,
306,South Korea,,,,1/28/2020 23:00,,,4,,,
307,Singapore,,,,1/28/2020 23:00,,,7,,,
308,Vietnam,,,,1/28/2020 23:00,,,2,,,
309,France,,,,1/28/2020 23:00,,,4,,,
310,Nepal,,,,1/28/2020 23:00,,,1,,,
311,Malaysia,,,,1/28/2020 23:00,,,4,,,
312,Canada,Ontario,,,1/28/2020 23:00,,,1,,,
313,Canada,British Columbia,,,1/28/2020 23:00,,,1,,,
314,Cambodia,,,,1/28/2020 23:00,,,1,,,
315,Sri Lanka,,,,1/28/2020 23:00,,,1,,,
316,Australia,New South Wales,,,1/28/2020 23:00,,,4,,,
317,Australia,Victoria,,,1/28/2020 23:00,,,1,,,
318,Germany,Bavaria,,,1/28/2020 23:00,,,4,,,
319,Mainland China,Hubei,,,1/29/2020 19:30,,,3554,125,88,
320,Mainland China,Zhejiang,,,1/29/2020 19:30,,,296,,3,
321,Mainland China,Guangdong,,,1/29/2020 19:30,,,277,,5,
322,Mainland China,Hunan,,,1/29/2020 19:30,,,221,,,
323,Mainland China,Henan,,,1/29/2020 19:30,,,206,2,1,
324,Mainland China,Anhui,,,1/29/2020 19:30,,,152,,2,
325,Mainland China,Chongqing,,,1/29/2020 19:30,,,147,,1,
326,Mainland China,Shandong,,,1/29/2020 19:30,,,130,,1,
327,Mainland China,Beijing,,,1/29/2020 19:30,,,111,1,4,
328,Mainland China,Jiangxi,,,1/29/2020 19:30,,,109,,3,
329,Mainland China,Sichuan,,,1/29/2020 19:30,,,108,1,1,
330,Mainland China,Jiangsu,,,1/29/2020 19:30,,,99,,1,
331,Mainland China,Shanghai,,,1/29/2020 19:30,,,96,1,5,
332,Mainland China,Fujian,,,1/29/2020 19:30,,,84,,,
333,Mainland China,Guangxi,,,1/29/2020 19:30,,,58,,2,
334,Mainland China,Shaanxi,,,1/29/2020 19:30,,,56,,,
335,Mainland China,Yunnan,,,1/29/2020 19:30,,,55,,,
336,Mainland China,Hebei,,,1/29/2020 19:30,,,48,1,,
337,Mainland China,Hainan,,,1/29/2020 19:30,,,43,1,,
338,Mainland China,Liaoning,,,1/29/2020 19:30,,,39,,1,
339,Mainland China,Heilongjiang,,,1/29/2020 19:30,,,38,1,,
340,Mainland China,Tianjin,,,1/29/2020 19:30,,,27,,,
341,Mainland China,Shanxi,,,1/29/2020 19:30,,,27,,1,
342,Mainland China,Gansu,,,1/29/2020 19:30,,,24,,,
343,Mainland China,Inner Mongolia,,,1/29/2020 19:30,,,16,,,
344,Mainland China,Xinjiang,,,1/29/2020 19:30,,,13,,,
345,Mainland China,Ningxia,,,1/29/2020 19:30,,,12,,,
346,Hong Kong,Hong Kong,,,1/29/2020 19:30,,,10,,,
347,Mainland China,Guizhou,,,1/29/2020 19:30,,,9,,1,
348,Mainland China,Jilin,,,1/29/2020 19:30,,,9,,,
349,Taiwan,Taiwan,,,1/29/2020 19:30,,,8,,,
350,Macau,Macau,,,1/29/2020 19:30,,,7,,,
351,Mainland China,Qinghai,,,1/29/2020 19:30,,,6,,,
352,US,Washington,,,1/29/2020 19:30,,,1,,,
353,US,Illinois,,,1/29/2020 19:30,,,1,,,
354,US,California,,,1/29/2020 19:30,,,2,,,
355,US,Arizona,,,1/29/2020 19:30,,,1,,,
356,Japan,,,,1/29/2020 19:30,,,7,,1,
357,Thailand,,,,1/29/2020 19:30,,,14,,5,
358,South Korea,,,,1/29/2020 19:30,,,4,,,
359,Singapore,,,,1/29/2020 19:30,,,7,,,
360,Vietnam,,,,1/29/2020 19:30,,,2,,,
361,France,,,,1/29/2020 19:30,,,5,,,
362,Nepal,,,,1/29/2020 19:30,,,1,,,
363,Malaysia,,,,1/29/2020 19:30,,,7,,,
364,Canada,Ontario,,,1/29/2020 19:30,,,1,,,
365,Canada,British Columbia,,,1/29/2020 19:30,,,1,,,
